"Collection","docname","Tag","pattern","from","to","pre","keyword","post"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","lesbian",12,12,"Its members described themselves as , "" a community organization for","Lesbian",", Gay , Bisexual people , their friends and family who are committed to the empowerment of Lesbian , Gay , and Bisexual People ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","lesbian",30,30,"as , "" a community organization for Lesbian , Gay , Bisexual people , their friends and family who are committed to the empowerment of","Lesbian",", Gay , and Bisexual People . "" The group's goals were to promote awareness of gay / lesbian / bisexual / transsexual issues ,"
"Ruth Ellis papers, 1910-2000","umich-bhl-0047_176","abstract","lesbian",20,20,"Ruth Ellis of Detroit , Michigan was well known in the Gay community as the oldest known African American","Lesbian","."
"Ruth Ellis papers, 1910-2000","umich-bhl-0047_178","scopecontent","lesbian",25,25,"The Ruth Ellis collection contains correspondence , photographs , and publications related to Ms . Ellis's life and her activities in the Gay and","Lesbian","community ."
"Sandra S. Cole papers, 1994-2007","umich-bhl-2010156_179","bioghist","lesbian",34,34,"from the Office of Equity and Diversity , Royster Harper , Vice President for Student Affairs , Frederic McDonald-Dennis , Director of the Office of","Lesbian",", Gay and Bisexual Affairs , and others ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_181","titleproper","lesbian",2,2,"Affirmations","Lesbian","/ Gay Community Center Records , 1989-2004"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_182","abstract","lesbian",2,2,"Affirmations","Lesbian","/ Gay Community Center was established in 1989 to serve as a resource to lesbian , gay , bisexual and transgender individuals in the greater"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_183","scopecontent","lesbian",11,11,"This collection reflects the operational and planning activities for Affirmations","Lesbian","/ Gay Community Center ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_184","bioghist","lesbian",2,2,"Affirmations","Lesbian","/ Gay Community Center was founded in 1989 based on the philosophy that "" gay is good , you are not alone . "" Originally"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_185","bioghist","lesbian",18,18,"To reflect this shift , the organization adopted a new mission statement in 1997 : "" Affirmations","Lesbian","/ Gay Community Center works to achieve respect and equality for gay , lesbian , bisexual and transgender people through social service programs , advocacy"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_188","corpnames","lesbian",2,2,"Affirmations","Lesbian","/ Gay Community Center . ; Affirmations Lesbian / Gay Community Center ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_188","corpnames","lesbian",10,10,"Affirmations Lesbian / Gay Community Center . ; Affirmations","Lesbian","/ Gay Community Center ."
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_206","abstract","lesbian",18,18,"The conference was held in Ann Arbor , MI and was sponsored by the University of Michigan's","Lesbian","and Gay Male Programs Office ."
"Coming Out Whole Conference Collection, 1986","umich-bhl-2014133_207","bioghist","lesbian",16,16,"The conference was designed by Nancy Blum who served as the Programs Co-Coordinator for the","Lesbian","and Gay Male Programs Office at the University of Michigan ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_211","titleproper","lesbian",1,1,"","Lesbian",", Gay , Bisexual , and Transgender Community of Michigan Web Archive , 2010-2014"
"Douglas M. Haller papers, 1978-2011","umich-bhl-2011138_233","bioghist","lesbian",35,35,"of five officers who formed the Executive Board of the Association of Suburban People ( ASP ) , at that time the largest Gay /","Lesbian","social and political organization in the State of Michigan ."
"Douglas M. Haller papers, 1978-2011","umich-bhl-2011138_236","abstract","lesbian",10,10,"Archivist and information officer active in numerous Gay /","Lesbian","organizations , notably the Association of Suburban People ( ASP ) ."
"James W. Toy Papers","umich-bhl-9744_240","bioghist","lesbian",65,65,"a member of the diocesan Church and Society Committee ; and since 1989 , he has been a member of the diocese's Task Force on","Lesbian","and Gay Men's Concerns ."
"Greg Kamm Papers, 1963-2008","umich-bhl-2009188_267","scopecontent","lesbian",11,11,"The papers are especially important for understanding the evolution of","Lesbian",", Gay , Bisexual , and Transgender rights in the state because Kamm , as cofounder of Kalamazoo Gay Liberation and an officer of the"
"the Lesbian Moms' Network records","umich-bhl-2014063_280","titleproper","lesbian",2,2,"the","Lesbian","Moms ' Network records"
"the Lesbian Moms' Network records","umich-bhl-2014063_282","scopecontent","lesbian",14,14,"The majority of the materials in this collection are organizational records from the","Lesbian","Moms ' Network , including newsletters , bylaws , Board of Directors ' minutes , and photos of demonstrations ; it also contains records relating"
"the Lesbian Moms' Network records","umich-bhl-2014063_286","subjects","lesbian",6,6,"LGBTQ + adoption . ;","Lesbian","community ; Lesbian mothers"
"the Lesbian Moms' Network records","umich-bhl-2014063_286","subjects","lesbian",9,9,"LGBTQ + adoption . ; Lesbian community ;","Lesbian","mothers"
"the Lesbian Moms' Network records","umich-bhl-2014063_287","corpnames","lesbian",14,14,"Lesbian Moms ' Network . ; Coalition for Adoption Rights Equality . ;","Lesbian","Moms ' Network ."
"Ruth Ellis papers, 1910-2000","umich-bhl-0047_298","bioghist","lesbian",9,9,"She actively participated in the events of the","Lesbian","community nation-wide until her death in 2000 at the age of 101 ."
"Triangle Foundation Records","umich-bhl-0092_299","bioghist","lesbian",14,14,"In 1983 the MOHR Foundation was created to receive tax deductible contributions The","Lesbian","Gay Foundation of Michigan was formed in 1990 when MOHR and the MOHR Foundation separated ."
"Parents, Families and Friends of Lesbians and Gays, Lansing area chapter records","umich-bhl-00140_312","bioghist","lesbian",27,27,"support groups began forming across the country , and in 1979 they met in Washington , DC at the first National March for Gay and","Lesbian","Rights ."
"National Organization for Women, Michigan Conference, Records, 1969-1996","umich-bhl-85326_328","bioghist","lesbian",7,7,"The Conference has task forces on","Lesbian","Rights , Reproductive Rights , Economic Justice , Employment , Violence Against Women , and Homemakers ' Rights , in addition to those on Education"
"James W. Toy Papers","umich-bhl-9744_337","bioghist","lesbian",36,36,"of the ACLU , the state board of the Michigan Organization for Human Rights , the Ann Arbor Area Association for Civil Concerns , the","Lesbian","/ Gay Political Caucus of Washtenaw County , and the Huron Valley Chapter of Wellness Network ( now the HIV / AIDS Resource Center ,"
"James W. Toy Papers","umich-bhl-9744_349","scopecontent","lesbian",21,21,"The James Toy Papers covering the period from the late 1960s to 1995 have been arranged into three series :","Lesbian","Gale Male Bisexual Office , Topical Files , and Correspondence ."
"Spectrum Center records","umich-bhl-02139_357","bioghist","lesbian",30,30,"public demonstration to revise 14.06 was done by the Gay Liberation Front and then in the 1980s by a student group known as LaGROC (","Lesbian","and Gay Rights on Campus ) ."
"Spectrum Center records","umich-bhl-02139_358","bioghist","lesbian",40,40,"the Human Sexuality Office to the Lesbian-Gay Male Programs Office ( LGMPO ) ; to the Lesbian-Gay Male-Bisexual Programs Office ; to the Office of","Lesbian",", Gay , Bisexual and Transgender Affairs ( LGBTA ) ; and , most recently , to the Spectrum Center ."
"Women in Michigan Web Archive, 2010-2014","umich-bhl-2014037_17","subjects","LGBT",41,41,"; Chaldean Catholics ; Charities ; Endowments ; Environmental protection ; Ethnic communities . ; Gardening ; Gay military personnel ; Iraqis ; Lesbians ;","LGBT","community of Michigan . ; Natural resources . ; Nonprofit organizations ; Politics and public policy . ; Religion . ; Women ; Women ;"
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_18","bioghist","LGBT",29,29,"with support of the PFLAG Downriver Board , the Neubeckers started a Straight Spouses group dedicated to helping straight persons to understand and accept their","LGBT","spouses ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_19","bioghist","LGBT",14,14,"Neubeckers personally lobbied their elected representative on their concerns for equality for the","LGBT","community ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_20","scopecontent","LGBT",13,13,"Also included correspondence and background material on various subjects related to the","LGBT","community rights ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_21","bioghist","LGBT",2,2,"Michigan's","LGBT","Community is among Bentley Historical Library's most important topical collections priorities ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_22","scopecontent","LGBT",6,6,"Web Archives include websites of","LGBT","equal rights organizations , religious groups , support systems , and activists who call the state of Michigan home ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_23","scopecontent","LGBT",23,23,"The Web Archive of Lesbian , Gay , Bisexual , and Transgender Community of Michigan collection contains archived websites created by various","LGBT","groups and individuals of the State of Michigan ."
"the Ross Chambers papers.","umich-bhl-2024013_24","scopecontent","LGBT",25,25,"Lectures , speeches , and notes are related to his work on AIDS ( particularly in relation to gay men ) , queer and","LGBT","+ studies , and French ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_25","bioghist","LGBT",11,11,"PFLAG provided a venue for parents and family members of","LGBT","teenagers and adult children , enabling them to learn more about being a positive parent or family member of an LGBT person , find common"
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_25","bioghist","LGBT",32,32,"and family members of LGBT teenagers and adult children , enabling them to learn more about being a positive parent or family member of an","LGBT","person , find common ground with other parents and learn how to be there for the gay person in their life ."
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_26","bioghist","LGBT",10,10,"By the 1980s the ASP had become the largest","LGBT","organization in Michigan , and in 1985 it changed its name to South Eastern Michigan Gay and Lesbian Association ( SEMGLA ) to more accurately"
"the Ross Chambers papers.","umich-bhl-2024013_27","bioghist","LGBT",12,12,"This shift allowed Chambers to teach some of the very first","LGBT","+ and queer topics classes at the University of Michigan ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","LGBT",19,19,"Gay activists ; Gay activists ; Gay youth ; Gay youth ; Lesbian youth ; Lesbian youth ;","LGBT","community ; LGBT community of Michigan ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","LGBT",22,22,"Gay activists ; Gay activists ; Gay youth ; Gay youth ; Lesbian youth ; Lesbian youth ; LGBT community ;","LGBT","community of Michigan ."
"the Lansing Association for Human Rights records","umich-bhl-9951_29","bioghist","LGBT",24,24,"published the first article in Michigan about AIDS and also started the Lansing Lesbian / Gay Hotline as a way of supporting the","LGBT","community ."
"the Ross Chambers papers.","umich-bhl-2024013_24","scopecontent","queer",23,23,"Lectures , speeches , and notes are related to his work on AIDS ( particularly in relation to gay men ) ,","queer","and LGBT + studies , and French ."
"the Ross Chambers papers.","umich-bhl-2024013_27","bioghist","queer",15,15,"This shift allowed Chambers to teach some of the very first LGBT + and","queer","topics classes at the University of Michigan ."
"Latina/o Studies Program (University of Michigan) records, 1984-2007","umich-bhl-2014114_362","bioghist","queer",29,29,"shares with the undergraduate curriculum a strong interdisciplinary approach to Latina / o Studies in the United States that also includes consideration of feminism ,","queer","theory , transnational media studies , critical race theory , and border studies and theory ."
"the Ross Chambers papers.","umich-bhl-2024013_364","scopecontent","queer",22,22,"Also includes one folder of student responses on why they decided to take individual courses , including courses about AIDS and","queer","topics ; these materials are restricted as they contain student grades ."
"the Ross Chambers papers.","umich-bhl-2024013_367","bioghist","queer",6,6,"Aside from his work on","queer","studies , Chambers published many works surrounding his work in French and literature ."
"the Michigan Equality records","umich-bhl-05122_109","subjects","queer",33,33,". ; Gay rights ; Homosexuality ; LGBTQ + discrimination . ; LGBTQ + support groups . ; LGBTQ + victims ' rights . ;","Queer","political activists ; Police interactions with LGBTQ + people . ; Same-sex marriage"
"the Ross Chambers papers.","umich-bhl-2024013_365","scopecontent","queer",9,9,"< item > Comparative Literature 760 : The","Queer","and the Creepy < / item >"
"the Ross Chambers papers.","umich-bhl-2024013_368","subjects","queer",17,17,"AIDS death and dying . ; AIDS ( Disease ) ; Language and education . ;","Queer","literature . ; Queer studies . ; University of Michigan"
"the Ross Chambers papers.","umich-bhl-2024013_368","subjects","queer",21,21,"AIDS death and dying . ; AIDS ( Disease ) ; Language and education . ; Queer literature . ;","Queer","studies . ; University of Michigan"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_166","bioghist","transsexual",18,18,"On February 12 , 1997 , Tri-Pride , a group of gay / lesbian / bisexual /","transsexual","social work and professional students from Eastern Michigan University , were denied service at Hansen's Standard Printing in Ypsilanti where they went to have printed"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","transsexual",53,53,"empowerment of Lesbian , Gay , and Bisexual People . "" The group's goals were to promote awareness of gay / lesbian / bisexual /","transsexual","issues , foster social action and change on issues concerning gay / lesbian / bisexual / transsexual community , and to collaborate with and support"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","transsexual",70,70,"awareness of gay / lesbian / bisexual / transsexual issues , foster social action and change on issues concerning gay / lesbian / bisexual /","transsexual","community , and to collaborate with and support other community organizations ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_169","bioghist","transsexual",18,18,"The Mayor and City Council also apologized to members of the gay / lesbian / bisexual /","transsexual","community for some of the comments directed at them by members of the public during the HRC meetings ."
